66 115
1 2 20
2 3 20
3 4 20
4 5 20
5 6 20
7 8 20
8 9 20
9 10 20
10 11 20
11 12 20
13 14 20
14 15 20
15 16 20
16 17 20
17 18 20 
19 20 20 
20 21 20
21 22 20
22 23 20
23 24 20
25 26 20
26 27 20
27 28 20 
28 29 20 
29 30 20 
31 32 20
32 33 20 
33 34 20
34 35 20
35 36 20
37 38 20 
38 39 20
39 30 20 
40 41 20
41 42 20
43 44 20
44 45 20
45 46 20
46 47 20
47 48 20
49 50 20 
50 51 20
51 52 20
52 53 20 
53 54 20
55 56 20 
56 57 20 
57 58 20 
58 59 20 
59 60 20 
61 62 20
62 63 20
63 64 20
64 65 20 
65 66 20
1 7 15
7 13 15
13 19 15 
19 25 15 
31 37 15 
37 43 15
43 49 15
49 55 15
55 61 15
2 8 15 
8 14 15 
14 20 15 
20 26 15 
26 32 15
32 38 15
38 44 15
44 50 15
50 56 15
56 62 15
3 9 15
9 15 15
15 21 15
21 27 15 
27 33 15
33 39 15
39 45 15
45 51 15 
51 57 15 
57 63 15 
4 10 15 
10 16 15
16 22 15
22 28 15 
28 34 15 
34 40 15 
40 46 15
46 52 15
52 58 15 
58 64 15 
5 11 15
11 17 15 
17 23 15
23 29 15 
29 35 15
35 41 15 
41 47 15 
47 53 15
53 59 15 
59 65 15 
6 12 15 
12 18 15 
18 24 15
24 30 15 
30 36 15
36 42 15
42 48 15 
48 54 15
54 60 15 
60 66 15
